epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8327.68,0.18223,4.14586,0.97189,0.01278,0.00556,0.00901,0.00901,0.11758,4.20922,0.40414,0.00333114,0.00333114,0.00333114
2,16396.8,0.13809,2.79477,0.91211,0.75822,0.80523,0.85874,0.85823,0.15476,1.98359,0.44097,0.00659849,0.00659849,0.00659849
